timestamp,groundstation,TotalUptime,BootCounter,BatteryGGStatus,BatteryINAStatus,InternalINAStatus,UnregulatedINAStatus,Bus1INAStatus,Bus2INAStatus,Bus3INAStatus,Bus4INAStatus,PanelYpINAStatus,PanelYpTMPStatus,PanelYmINAStatus,PanelYmTMPStatus,PanelXpINAStatus,PanelXpTMPStatus,PanelXmINAStatus,PanelXmTMPStatus,InternalINACurrent,InternalINAVoltage,UnregulatedINACurrent,UnregulatedINAVoltage,BatteryINAVoltage,BatteryINACurrent,BatteryGGTemperature,BatteryTMP20Temperature,Bus4Current,Bus4Voltage,Bus3Current,Bus3Voltage,Bus2Current,Bus2Voltage,Bus1Current,Bus1Voltage,PanelYpCurrent,PanelYpVoltage,PanelYmCurrent,PanelYmVoltage,PanelXpCurrent,PanelXpVoltage,PanelXmCurrent,PanelXmVoltage,PanelYpTemperature,PanelYmTemperature,PanelXpTemperature,PanelXmTemperature,MCUTemp
2022-03-19T07:31:23Z,EU1XX-KO33ru,5623614,105,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0150000000000000627622953608408806758234277367591857910156250,0.0500000000000000010408340855860842566471546888351440429687500,3.8880000000000000809352584951739117968827486038208007812500000,3.9780000000000000828087598492288634588476270437240600585937500,0E-61,-4.20000000000000023314683517128287348896265029907226562500,-2.70000000000000014988010832439613295719027519226074218750,0E-61,0.0010000000000000000208166817117216851329430937767028808593750,0E-61,0E-61,0E-61,0E-61,0.0380000000000000007910339050454240350518375635147094726562500,3.9880000000000000830169266663460803101770579814910888671875000,0.0170000000000000003538835890992686472600325942039489746093750,4.2710000000000000889080475907633172027999535202980041503906250,0.0190000000000000003955169525227120175259187817573547363281250,3.9980000000000000832250934834632971615064889192581176757812500,0E-61,3.8910000000000000809977085403090768522815778851509094238281250,0.0130000000000000002706168622523819067282602190971374511718750,4.5550000000000000948199851968922757805557921528816223144531250,-2.40000000000000013322676295501878485083580017089843750000,6.20000000000000034416913763379852753132581710815429687500,-12.60000000000000069944050551384862046688795089721679687500,2.10000000000000011657341758564143674448132514953613281250,-0.70000000000000003885780586188047891482710838317871093750
2022-03-19T07:32:23Z,EU1XX-KO33ru,5623674,105,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0060000000000000625749452254353855096269398927688598632812500,0.0680000000000000014155343563970745890401303768157958984375000,4.3630000000000000908231823082417122350307181477546691894531250,3.9800000000000000828503932126523068291135132312774658203125000,0E-61,-3.60000000000000019984014443252817727625370025634765625000,-1.50000000000000008326672684688674053177237510681152343750,0E-61,0.0050000000000000001040834085586084256647154688835144042968750,0E-61,0E-61,0E-61,0.0020000000000000000416333634234433702658861875534057617187500,0.0550000000000000011449174941446926823118701577186584472656250,4.5270000000000000942371181089640685968333855271339416503906250,0.0150000000000000003122502256758252769941464066505432128906250,4.2850000000000000891994811347274207946611568331718444824218750,0.0130000000000000002706168622523819067282602190971374511718750,4.4410000000000000924468834817560036754002794623374938964843750,0.0030000000000000000624500451351650553988292813301086425781250,4.5770000000000000952779521945501528534805402159690856933593750,0.0260000000000000005412337245047638134565204381942749023437500,4.1970000000000000873676131440959125029621645808219909667968750,0E-56,7.20000000000000039968028886505635455250740051269531250000,-10.80000000000000059952043329758453182876110076904296875000,3.60000000000000019984014443252817727625370025634765625000,0E-56
2022-03-19T07:33:23Z,EU1XX-KO33ru,5623734,105,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0110000000000000626790286339939939352916553616523742675781250,0.0540000000000000011241008124329709971789270639419555664062500,4.0150000000000000835789770725625658087665215134620666503906250,3.9770000000000000827879431675171417737146839499473571777343750,0.0010000000000000000208166817117216851329430937767028808593750,-2.40000000000000013322676295501878485083580017089843750000,-2.90000000000000016098233857064769836142659187316894531250,0E-61,0E-61,0E-61,0E-61,0E-61,0.0020000000000000000416333634234433702658861875534057617187500,0.0470000000000000009783840404509192012483254075050354003906250,4.3420000000000000903860319922955568472389131784439086914062500,0.0140000000000000002914335439641035918612033128738403320312500,3.8600000000000000803523914072457046131603419780731201171875000,0.0150000000000000003122502256758252769941464066505432128906250,4.0160000000000000835997937542742874938994646072387695312500000,0E-61,3.8920000000000000810185252220207985374145209789276123046875000,0.0150000000000000003122502256758252769941464066505432128906250,3.9020000000000000812266920391380153887439519166946411132812500,1.00000000000000005551115123125782702118158340454101562500,7.90000000000000043853809472693683346733450889587402343750,-8.90000000000000049404924595819466048851609230041503906250,5.20000000000000028865798640254070051014423370361328125000,0.20000000000000001110223024625156540423631668090820312500
2022-03-19T07:34:23Z,EU1XX-KO33ru,5623794,105,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0130000000000000627206619974174373055575415492057800292968750,0.0690000000000000014363510381087962741730734705924987792968750,4.5960000000000000956734691470728648710064589977264404296875000,3.9870000000000000829961099846343586250441148877143859863281250,0E-61,-1.90000000000000010547118733938987134024500846862792968750,-3.70000000000000020539125955565395997837185859680175781250,0E-61,0E-61,0E-61,0E-61,0E-61,0E-61,0.0430000000000000008951173136040324607165530323982238769531250,3.9270000000000000817471090819310575170675292611122131347656250,0.0100000000000000002081668171172168513294309377670288085937500,3.9220000000000000816430256733724490914028137922286987304687500,0.0190000000000000003955169525227120175259187817573547363281250,4.4080000000000000917599329852691880660131573677062988281250000,0.0340000000000000007077671781985372945200651884078979492187500,4.5830000000000000954028522848204829642781987786293029785156250,0.0110000000000000002289834988289385364623740315437316894531250,4.2370000000000000882002804125647799082798883318901062011718750,1.60000000000000008881784197001252323389053344726562500000,9.60000000000000053290705182007513940334320068359375000000,-6.90000000000000038302694349567900644615292549133300781250,6.30000000000000034972025275692431023344397544860839843750,1.60000000000000008881784197001252323389053344726562500000
2022-03-19T18:20:50Z,EU1XX-KO33ru,5662569,120,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0020000000000000624916784985884987690951675176620483398437500,0.0690000000000000014363510381087962741730734705924987792968750,4.0650000000000000846198111581486500654136762022972106933593750,3.9680000000000000826005930321116466075181961059570312500000000,0E-61,-11.80000000000000065503158452884235884994268417358398437500,-7.70000000000000042743586448068526806309819221496582031250,0E-61,0.0010000000000000000208166817117216851329430937767028808593750,0E-61,0E-61,0E-61,0E-61,0.0480000000000000009992007221626408863812685012817382812500000,4.3810000000000000911978825790527025674236938357353210449218750,0E-61,4.4110000000000000918223830304043531214119866490364074707031250,0.0660000000000000013739009929736312187742441892623901367187500,4.3530000000000000906150154911244953837012872099876403808593750,0.0180000000000000003747002708109903323929756879806518554687500,4.0770000000000000848696113386893102870089933276176452636718750,-0.0010000000000000000208166817117216851329430937767028808593750,4.0810000000000000849528780655361970275407657027244567871093750,-23.40000000000000129896093881143315229564905166625976562500,-22.90000000000000127120536319580423878505825996398925781250,-32.10000000000000178190795452337624737992882728576660156250,-23.90000000000000132671651442706206580623984336853027343750,74.40000000000000413002965160558233037590980529785156250000
2022-03-19T18:22:53Z,EU1XX-KO33ru,5662692,120,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0150000000000000627622953608408806758234277367591857910156250,0.0830000000000000017277845820728998660342767834663391113281250,3.2130000000000000668839983397617743321461603045463562011718750,3.9610000000000000824548762601295948115875944495201110839843750,-0.0190000000000000003955169525227120175259187817573547363281250,-11.80000000000000065503158452884235884994268417358398437500,-10.80000000000000059952043329758453182876110076904296875000,0E-61,0E-61,0E-61,0E-61,0E-61,0E-61,0.0640000000000000013322676295501878485083580017089843750000000,3.2010000000000000666341981592211141105508431792259216308593750,0E-61,3.2380000000000000674044153825548164604697376489639282226562500,0.0610000000000000012698175844150227931095287203788757324218750,3.2330000000000000673003319739962080348050221800804138183593750,0E-61,3.2350000000000000673419653374196514050709083676338195800781250,0E-61,3.2370000000000000673835987008430947753367945551872253417968750,-20.30000000000000112687636999453388852998614311218261718750,-15.00000000000000083266726846886740531772375106811523437500,-30.80000000000000170974345792274107225239276885986328125000,-21.80000000000000121014309684142062906175851821899414062500,-15.70000000000000087152507433074788423255085945129394531250
2022-03-20T08:54:45Z,EU1XX-KO33ru,5714985,142,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0060000000000000625749452254353855096269398927688598632812500,0.0730000000000000015196177649556830147048458456993103027343750,4.4430000000000000924885168451794470456661656498908996582031250,3.9760000000000000827671264858054200885817408561706542968750000,0E-61,-3.60000000000000019984014443252817727625370025634765625000,-2.90000000000000016098233857064769836142659187316894531250,0E-61,0E-61,0E-61,0E-61,0E-61,0E-61,0.0510000000000000010616507672978059417800977826118469238281250,4.4310000000000000922387166646387868240708485245704650878906250,0.0300000000000000006245004513516505539882928133010864257812500,4.5020000000000000937167010661710264685098081827163696289062500,0.0230000000000000004787836793695987580576911568641662597656250,4.5400000000000000945077349712164505035616457462310791015625000,-0.0010000000000000000208166817117216851329430937767028808593750,4.3530000000000000906150154911244953837012872099876403808593750,0.0180000000000000003747002708109903323929756879806518554687500,4.3630000000000000908231823082417122350307181477546691894531250,-1.20000000000000006661338147750939242541790008544921875000,5.60000000000000031086244689504383131861686706542968750000,-8.30000000000000046074255521943996427580714225769042968750,-1.10000000000000006106226635438360972329974174499511718750,-0.60000000000000003330669073875469621270895004272460937500
2022-03-20T08:55:45Z,EU1XX-KO33ru,5715045,142,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0160000000000000627831120425526023609563708305358886718750000,0.0460000000000000009575673587391975161153823137283325195312500,4.0160000000000000835997937542742874938994646072387695312500000,3.9830000000000000829128432577874718845123425126075744628906250,0E-61,-3.00000000000000016653345369377348106354475021362304687500,-1.90000000000000010547118733938987134024500846862792968750,0E-61,0E-61,0E-61,0E-61,0E-61,0.0050000000000000001040834085586084256647154688835144042968750,0.0510000000000000010616507672978059417800977826118469238281250,4.4030000000000000916558495767105796403484418988227844238281250,0.0130000000000000002706168622523819067282602190971374511718750,3.9010000000000000812058753574262937036110088229179382324218750,0.0130000000000000002706168622523819067282602190971374511718750,3.9470000000000000821634427161654912197263911366462707519531250,0E-61,4.3360000000000000902611319020252267364412546157836914062500000,0.0140000000000000002914335439641035918612033128738403320312500,4.1820000000000000870553629184200872259680181741714477539062500,0E-56,6.50000000000000036082248300317587563768029212951660156250,-6.90000000000000038302694349567900644615292549133300781250,0.10000000000000000555111512312578270211815834045410156250,0.60000000000000003330669073875469621270895004272460937500
2022-03-20T08:56:45Z,EU1XX-KO33ru,5715105,142,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0130000000000000627206619974174373055575415492057800292968750,0.0580000000000000012073675392798577377106994390487670898437500,4.2950000000000000894076479518446376459905877709388732910156250,3.9830000000000000829128432577874718845123425126075744628906250,0E-61,-2.40000000000000013322676295501878485083580017089843750000,-1.20000000000000006661338147750939242541790008544921875000,0E-61,0.0050000000000000001040834085586084256647154688835144042968750,0E-61,0E-61,0E-61,0E-61,0.0380000000000000007910339050454240350518375635147094726562500,3.9860000000000000829752933029226369399111717939376831054687500,0.0440000000000000009159339953157541458494961261749267578125000,4.4210000000000000920305498475215699727414175868034362792968750,0.0140000000000000002914335439641035918612033128738403320312500,4.6100000000000000959649026910369684628676623106002807617187500,0.0150000000000000003122502256758252769941464066505432128906250,4.5970000000000000956942858287845865561394020915031433105468750,0.0130000000000000002706168622523819067282602190971374511718750,4.1820000000000000870553629184200872259680181741714477539062500,1.80000000000000009992007221626408863812685012817382812500,7.60000000000000042188474935755948536098003387451171875000,-5.10000000000000028310687127941491780802607536315917968750,1.90000000000000010547118733938987134024500846862792968750,1.40000000000000007771561172376095782965421676635742187500
2022-03-20T08:57:46Z,EU1XX-KO33ru,5715166,142,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,0.0150000000000000003122502256758252769941464066505432128906250,3.0100000000000000626582119522822722501587122678756713867187500,0.0600000000000000012490009027033011079765856266021728515625000,4.3480000000000000905109320825658869580365717411041259765625000,3.9830000000000000829128432577874718845123425126075744628906250,0E-61,-1.90000000000000010547118733938987134024500846862792968750,-0.40000000000000002220446049250313080847263336181640625000,0E-61,0.0030000000000000000624500451351650553988292813301086425781250,0E-61,0E-61,0E-61,0E-61,0.0430000000000000008951173136040324607165530323982238769531250,3.9360000000000000819344592173365526832640171051025390625000000,0.0130000000000000002706168622523819067282602190971374511718750,3.9820000000000000828920265760757501993793994188308715820312500,0.0150000000000000003122502256758252769941464066505432128906250,4.3660000000000000908856323533768772904295474290847778320312500,0.0090000000000000001873501354054951661964878439903259277343750,4.5160000000000000940081346101351300603710114955902099609375000,0.0230000000000000004787836793695987580576911568641662597656250,4.3030000000000000895741814055384111270541325211524963378906250,3.60000000000000019984014443252817727625370025634765625000,8.80000000000000048849813083506887778639793395996093750000,-3.10000000000000017208456881689926376566290855407714843750,4.30000000000000023869795029440865619108080863952636718750,2.50000000000000013877787807814456755295395851135253906250
